leave my sister alone .	and why would i do that ?
yeah	what do you think ?
you just said	you need money to take a girl out
when i shell out fifty i expect results .	i m on it
i just upped my price	what ?
what ?	a hundred bucks a date .
a hundred bucks a date .	forget it .
forget it .	forget her sister then .
it s about time .	a deal s a deal .
how d you do it ?	do what ?
do what ?	get her to act like a human
hey .	are you lost ?
are you lost ?	nope just came by to chat
nope just came by to chat	we don t chat .
i hear you re helpin verona .	uh yeah . we re old friend
uh yeah . we re old friend	you and verona ?
who s that ?	patrick verona random skid .
he always look so	block e ?
what s this ?	an attempted slit .
william didn t even go to high school	that s never been proven
that s never been proven	neither has his heterosexuality .
you think this ll work ?	no fear .
what d he say ?	who cares ?
i did bianca a favor and it backfired .	you didn t
have you seen him ?	who ?
who ?	william he asked me to meet him here .
i mean wo man . how ya doin ?	sweating like a pig actually . and yourself ?
pick you up friday then	oh right . friday .
you covered in my vomit .	seven thirty ?
excuse me ?	that s what you want isn t it ?
you know who the raincoats are ?	why don t you ?
i say do what you wanna do .	funny you re the only one
okay ?	i m fine . i m
you re not okay .	i just need to lie down for awhile
why re you doing this ?	i told you
i told you	you don t care if i die
you don t care if i die	sure i do
sure i do	why ?
why d you let him get to you ?	who ?
who ?	dorsey .
dorsey .	i hate him .
i thought you were above all that	you know what they say
kat ! wake up !	what ?
busy	were you in jail ?
were you in jail ?	maybe .
maybe .	no you weren t
no you weren t	then why d you ask ?
then why d you ask ?	why d you lie ?
i should do this .	do what ?
do what ?	this .
start a band ?	my father wouldn t approve of that that
oh so now you think you know me ?	i m gettin there
who ?	bianca
what are you doing here ?	i heard there was a poetry reading .
i heard there was a poetry reading .	you re so
you re so	pleasant ?
wholesome .	unwelcome .
so what did i have an effect on ?	other than my upchuck reflex ? nothing .
c mon . it s not that bad	try lookin at it from this angle
put your right foot there	forget it . i m stayin .
a soft side ? who knew ?	yeah well don t let it get out
yeah well don t let it get out	so what s your excuse ?
so what s your excuse ?	acting the way we do .
acting the way we do .	yes
something like that	then you screwed up
then you screwed up	how ?
how ?	you never disappointed me .
you up for it ?	for . . . ?
state trooper ?	fallacy .
fallacy .	the duck ?
the duck ?	hearsay .
hearsay .	i know the porn career s a lie .
tell me something true .	i hate peas .
what ?	no one else knows
is that a request or a command ?	you know what i mean
you know what i mean	no .
no .	no what ?
no what ?	no i won t go with you
no i won t go with you	why not ?
it s just something i had . you know	oh huh
my grandmother s .	what ?
my insurance does not cover pms	then tell them i had a seizure .
i thought you were punishing me .	why can t we agree on this ?
why can t we agree on this ?	because you re making decisions for me .
because you re making decisions for me .	as a parent that s my right
as a parent that s my right	so what i want doesn t matter ?
parts of it .	which parts ?
hey there . tired of breathing ?	hi .
hi .	cool pictures . you a fan ?
cool pictures . you a fan ?	yeah . i guess .
you think ?	oh yeah .
macbeth right ?	right .
right .	kat a fan too ?
kat a fan too ?	yeah . . .
say it	what ?
what ? !	good enough .
ever been to club skunk ?	yeah .
you were right . she s still pissed .	sweet love renew thy force !
you re completely demented .	see you next week !
in the microwave .	make anyone cry today ?
tumescent !	you re not helping .
have a great time honey !	but who what ?
what just happened ?	your daughters went to the prom .
your daughters went to the prom .	did i have anything to say about it ?
did i have anything to say about it ?	absolutely not .
absolutely not .	that s what i thought
he s the devil s child . . .	we ll all go crazy . . .
your life and that of others !	if they agree to follow me yes .
i could be gone for years .	i know .
she said yes .	thank god . . .
beatrix i want to ask you something .	you don t usually ask .
can t you stay with us a little ?	i am busy inside .
may i ask by whom ?	bartolome and giacomo colon .
don alonso de bobadilla .	yes . . . i remember . . .
my letters of appointment .	appointment to what ?
appointment to what ?	viceroy of the west indies .
i want to go with you !	there ll be a time .
i have to explore the mainland .	this time with me !
how are you feeling fernando ?	not bad .
no . . .	no ?
i m not bargaining !	then you are too ambitious .
you defend yourself admirably . . .	. . . for a commoner ?
you come ! you speak first !	tell the chief we thank him .
tell the chief we thank him .	chief knows .
chief says how many ?	thousands .
thousands .	why ?
to bring the word of god .	chief says he has a god .
chief says he has a god .	. . . and also to bring medicine .
. . . and also to bring medicine .	chief says . . .
he understands .	ask him if he will help .
that s what it says .	how did you manage it ?
esdras is a jew .	so was christ !
father marchena !	passion is something one cannot control !
all of them ! just lies !	colon ! don t !
in nomine patris et filius et spiritus sancti .	forgive me father . for i have sinned .
i believed in you . . .	give me absolution .
i suppose we re both old men now .	you ll always be older than me father .
i have to disagree .	i knew you would .
i knew you would .	new worlds create new people .
new worlds create new people .	oh ? so you are a new man ?
the ocean is uncrossable ?	what did they say about granada before today ?
what did they say about granada before today ?	that she was impregnable .
i cannot ignore the verdict of my council .	surely you can do anything you want .
may i speak freely ?	you show no inclination to speak otherwise !
we can t raise the wheel without it .	my horse doesn t work .
what do you read ?	twenty eight .
where can i meet this man ?	immediately .
six days ago yes .	you must be mad . . . !
you think i don t know that ?	we re lost !
we re lost !	the land is there . i know it !
you tell that to them !	you re right . let the men decide .
is that the man i knew treasurer sanchez ?	yes your majesty .
then what do you suggest don sanchez ?	he must be replaced .
i know i should not tolerate his impertinence .	then why ?
then why ?	because he is not afraid of me .
don t say anything .	where are we going ?
where are we going ?	i m coming with you .
i m coming with you .	yes . yes come with me !
you bring the cigarettes ?	oh sure .
. . .delusions and paranoia .	i was all of these .
no . no way .	but it s . . .
alright . that s a justifiable homicide .	yes but he was a cop .
are you married ?	divorced .
i can t take you to my place .	somewhere else ?
so . . .the station is empty ?	yeah . this way .
you considered becoming a prostitute ?	yes i considered it .
yes i considered it .	did you ever turn tricks before ?
did you ever turn tricks before ?	no .
no .	what about back home ?
what about back home ?	no .
so you were never a prostitute ?	what are you asking me ?
are you alright ?	i still can t believe eddie s gone .
i still can t believe eddie s gone .	i m sorry .
is he your boyfriend ?	ludwig ? he s gay are you jealous ?
ludwig ? he s gay are you jealous ?	if i was your boyfriend i might be .
you better get packed .	right .
do you have coffee ?	in the kitchen .
in the kitchen .	i ll make some for us .
i ll make some for us .	i ll get my clothes .
what are you doing ?	pouring it out !
oh .	it was my decision not his .
who did cause and origin ?	who do you think chief ? !
what do you mean cleaned up ?	i let her take a shower .
chief mind if i take her ?	okay . but not water sports .
yeah right .	what was that korfin ?
did the d .a . videotape her deposition ?	yeah . he finished awhile ago .
coffee for me i gotta slow down .	vodka tonic .
i m gonna propose .	when ?
when ?	tomorrow . at lunch .
tomorrow . at lunch .	you ready ?
what s he looking for ?	a timer .
where is she ?	takin a bath .
takin a bath .	any i .d . ?
sorry . . .pd only .	it s okay .
only one guys checked in ?	yeah .
are you hit ?	no . i m okay .
no .	did you tell him you did ?
boy she s so popular all the sudden .	what are you saying ?
you know what that is right ?	no what is it ?
watch the news ?	nah i musta missed it .
nah why should you ?	i don t even watch tv .
i don t even watch tv .	good . good . commendable .
pretty .	hmmmm .
you re polish ?	my folks are .
my folks are .	stay here .
you goin to the escort service ?	you got any better ideas ?
you got any better ideas ?	mind if i ride along with you ?
mind if i ride along with you ?	this has nothing to do with your fire .
two heads .	better than one .
you thirsty ?	i m on duty .
why not ?	something back home ?
you wanna talk to her alone ?	yeah .
yeah .	what would your girlfriend think of that ?
what would your girlfriend think of that ?	i don t have a girlfriend .
i don t have a girlfriend .	my point exactly .
my point exactly .	i m serious here .
i m serious here .	so am i .
so . . .who s nicky ?	what do you want ?
what s your accomplishment .	i kill someone famous .
i kill someone famous .	then do it asshole .
how many victims are up there ?	there are two bodies found at this point .
there are two bodies found at this point .	can we go up to the crime scene ?
eddie are you okay ?	yeah . now s not a good time .
yeah . now s not a good time .	alright .
alright .	alright ?
alright ?	alright .
alright .	alright .
alright .	okay .
hey honey .	hey .
alright alright eddie . don t patronize me .	i m not .
you re ruthless .	you re not so bad yourself .
that s good .	yeah .
yeah .	well that s great .
okay til tonight .	tonight .
tonight .	you promise ?
you promise ?	yeah . i promise .
yeah yeah . good thing .	okay .
okay .	see you later . good luck .
see you later . good luck .	thank you .
thank you .	don t be late .
so what s unique ?	not what . who .
ready ?	keep them out of my way .
keep them out of my way .	okay . you ready ?
okay . you ready ?	yeah yeah . jesus .
you stuff sausage in it .	and what do you do with the bones ?
and what do you do with the bones ?	dog food .
are you married ?	no . are you proposing ?
tell him to put his gun down !	let her go ! let her go ! !
hi i m honey .	where s czech girl ?
next . could i see your documents please ?	yes sir .
two weeks holiday .	how much money are you carrying with you ?
how much money are you carrying with you ?	i have five hundred dollars .
yes .	please join us . come on forward .
please join us . come on forward .	is there a problem ?
we are both from prague .	how long are you planning to stay ?
how long are you planning to stay ?	two weeks .
two weeks .	i d like to speak for himself okay ?
i d like to speak for himself okay ?	he doesn t speak english .
don t fool around .	okay .
did you hear what i said ?	i want to document my trip to america .
what ?	smell like chemicals . . .for smoking drugs .
speak english !	you said speak czech !
you said speak czech !	how you erase this ?
get in the bathroom !	whatever we do we fuck her right ?
shut up .	does it hurt ?
oh shit . i hate looking at that !	don t want to film this ?
why not ?	put the camera down oleg .
let me get a shot of it .	sit down !
i m serious .	shut up . look !
you got that ?	no i don t get that !
emil ? ? ? !	surprise ! surprise !
we spent it !	ha . ha .
i can get you a job .	a job ?
a job ?	yes the money is good .
yes the money is good .	as a plumber ? !
as a plumber ? !	it s easy to learn .
robert . . . ?	what are you doing here ?
what are you doing here ?	you ve got a call .
viewer discretion advised !	you want the tape ? there it is !
yeah ?	paulie you ve got kids right ?
well he . . .	i want to hear everything he said .
i want to hear everything he said .	i m trying to tell you .
i m trying to tell you .	alright . go ahead .
a cheap hotel .	what are you coming here to do ?
what are you coming here to do ?	i m here for movies .
no . go ahead .	thanks . appreciate it .
what was that ?	evidence . of a homicide .
i ll take him .	no way ! he s mine !
no way ! he s mine !	we re takin him . don t argue !
we re takin him . don t argue !	he s my collar !
he s my collar !	well he killed my partner !
fire department ? firemen don t carry guns .	oh yeah ? guess again .
how did you start the fire this time ?	i used an accelerant .
i used an accelerant .	yeah ? what kind ?
oh yeah why ?	cause eddie woulda locked him up by now !
mouth s clean too .	clean ?
clean ?	don t blow your nose !
he knew all along .	what ? ?
yeah ?	maybe you can be his stand in .
how long they been livin here ?	you hear that question garcia ?
bobby bobby ! where re you hit ? !	it hurts . aw jesus !
it hurts . aw jesus !	lay down . stay down bobby .
how was it ?	not good .
get outta here !	what the hell happened ?
continued	she s wonderful .
right . just a sec .	okay .
okay .	okay come on down .
what s up ?	it s about my salary cheques .
it s about my salary cheques .	yes ?
really .	yes .
that seems very unlikely .	yes i thought so .
i know . it would be almost inconceivable .	but not completely inconceivable ?
but not completely inconceivable ?	i suppose it isn t logically impossible .
i suppose it isn t logically impossible .	i guess it isn t .
good morning . how s it going ?	are you reasonably awake ?
you re kidding .	no .
hal ?	yes .
i m sorry about the misunderstanding hal .	well don t worry about it .
well don t worry about it .	and don t you worry about it .
and don t you worry about it .	is your confidence in me fully restored ?
is your confidence in me fully restored ?	yes it is hal .
too bad about frank isn t it ?	yes it is .
the antenna has to be replaced .	repairing the antenna is a pretty dangerous operation .
continued	did they have any explanation for this ?
continued	well what is it ?
i m having a party tomorrow .	yes i know that sweetheart .
yes i know that sweetheart .	are you coming to my party ?
when are you coming home ?	in three days darling i hope .
mommy s out to the hair dresser .	where is mrs . brown ?
where is mrs . brown ?	she s in the bathroom .
yes daddy .	bye bye now sweetheart .
bye bye now sweetheart .	goodbye daddy .
oh thank you very much .	thank you .
thank you .	well how s it going back there ?
oh that s such a delightful age .	how is gregor ?
yes very pleasant .	well shall we go through documentation ?
well shall we go through documentation ?	fine .
are you quite sure ?	yes really thank you very much .
that s right .	i see .
fortunately they did .	well i m glad about that .
that s true .	thank you very much hal .
hal have pod arms secure the component .	roger .
i understand .	hal maintain normal e .v .a . condition .
hal maintain normal e .v .a . condition .	roger .
roger .	hal check all airlock doors secure .
yeah ?	i want to pick up my car .
name ?	hammond .
this is three years old .	yeah i ve been busy .
we don t wash em ya know .	how about chargin the battery ?
yeah .	vodka .
vodka .	maybe you better have a black russian .
maybe you shoulda stole a better truck tonto .	you got a real big mouth convict .
i want to drive awhile .	i ain t tired yet .
whaddya mean buy ?	pros .
pay money ?	yeah dummy . money .
yeah dummy . money .	i never paid for it in my life .
you re in a hurry .	yeah i been waiting three years .
yeah i been waiting three years .	you just quit bein a priest or somethin ?
i hear you ve got visitors .	would you guys . . .
you re gonna help us take him .	no chance .
where s ganz ?	in the back . down the other corridor .
i got a lot to protect .	bullshit .
luther was part of the gang ?	what gang you talkin about jack ?
hey this works pretty good .	thank you .
thank you .	want to try it again ?
now where we goin convict ?	mission district . gonna find us an indian .
i don t give out the details .	last night two nights ago three ?
last night .	you have a good time ?
there .	must be billy s girl .
must be billy s girl .	come on .
how much ?	half a million .
half a million .	jesus .
we split ?	not likely convict .
not likely convict .	you gonna let me keep any of it ?
what ?	musta got some primo bondsman .
you stay with me . . .	no way . . .
what about luther ?	what about ganz ?
why ?	luther s on the move . . .
notice something funny about that bus ?	yeah . it missed the last four stops .
it s late they re closing . . .	don t worry about it .
hey there she is . . .	whatever play i maker just back me up .
yeah . . .	anthing botherin you besides losin your gun ?
jack ?	yeah ?
what the bell happened ?	i lost them that s what happened .
i lost them that s what happened .	how did they get away ?
which one pulled the trigger ?	the indian . i was about yards away .
the indian . i was about yards away .	you couldn t get to him ?
that s what you say cates . . .	yeah .
tell me that s not the same guy .	hey . . . dick tracy .
aw bullshit you heard wrong .	doesn t look like it .
bullshit red tape .	i m heading out . how about you ?
hey you re right .	you re hopeless .
you re hopeless .	that s the way i see it too .
i m all wet .	what s wrong with that ?
hey you know what i really think ?	tell me i m dyin to hear it .
maybe i got a fairly crummy day ahead .	maybe that makes a nice excuse .
you know something jack you really are hopeless .	that s the way i see it too .
that s the way i see it too .	call me later .
call me later .	you sure you want me to ?
great place for lunch .	yeah one of my favorites .
yeah one of my favorites .	you made the front page .
jack wait . . .	just a second that s all !
hello .	hi it s me . . .
hi it s me . . .	fuck you .
hey i don t believe it .	hiya kid .
three more hours . . .	where is he ?
you re impossible . . .	that s what i always say .
hard man to live with .	how would you know ?
how would you know ?	hey two days with him is enough .
hey two days with him is enough .	that s no bull .
hey . . .	shut up .
stall .	what do you want ?
keep stallin .	alright i m coming . . .hold on .
how ya doin ?	can t complain .
can t complain .	we got a lot to talk about .
we got a lot to talk about .	yeah old times .
surprise luther .	whaddya want ? i thought you were locked up
don t give me this we were partners .	billy go ahead break it . . .
let her go .	first the money .
how you doing man ?	not bad not bad .
you want to go outside ?	naw right here s okay .
don t mess with me . how much ?	five bills .
five bills .	five . on credit .
five . on credit .	this ain t a credit business .
give it back .	try and take it .
appipulai leeloo minai . .	corn i lius ?
corn i lius ?	at your service .
what re you laughing about ?	napoleon . . . small .
san agamat chay bet . . . envolet !	the case was stolen ?
ikset kiba . me imanetaba oum dalat !	you know exactly where they are !
. . .we re saved !	i m fucked !
. . .would you like a drink ?	no thank you .
you are a monster zorg !	i know . . .
excuse me i m looking for a priest .	weddings are one floor down . congratulations .
who are you ?	i brought the girl remember ?
i brought the girl remember ?	the girl ?
he s a she !	you noticed . . .
they all like this in your family father ?	she s an exception . .
it means never without my permission .	that s what i thought .
what kind of mission ?	we have to save the world .
we have to save the world .	good luck . .
good luck . .	of course .
leeloo s in trouble ?	when is she not in trouble ?
is there anything that can stop it ?	yes . .thank god . .
it s a miracle ! ! !	what is ?
they really made her . . .	perfect .
yeah ?	hey bud ! finger here .
i just found a picture of you .	how do i look ?
how do i look ?	like shit .
uh . . . at least fifty .	in your dreams ! see you tonight !
akina delutan nou shan .	. . . scuse me ?
. . .what s your name ?	leeloo minai lekarariba laminai tchai ekbat de sebat .
when evil returns so shall we .	we will be ready lord .
are you listening to me you ingrate !	yes ma . .
yeah ?	have you pulled yourself together ?
have you pulled yourself together ?	. . .not yet .
hello ?	you little sleaze bag !
you little sleaze bag !	. . .ma ? ? ?
fuel level . . .propulsion x . . .	i had the worst goddamn nightmare .
i m sorry . .	this is a police control action . .
. . . . . .	found it ?
. . .hi .	does it get any better or what !
you know how to fly this thing ?	it s like a cab isn t it ?
what mission ?	to save the world .
to save the world .	where have i heard this song before ?
don t you open your messages ?	i ve had enough good news for today
old tricks are the best tricks eh ?	i m not going .
i m not going .	why not ?
. . .shit !	what is it ?
it s my wife .	i thought you were divorced .
three of us will never fit in there !	oh yes you will . . .
apipoulai !	i suppose that means hi ?
valo massa . . . chacha hamas .	uh . .you re welcome .
you hear that ?	cornelius . .
cornelius . .	oh god !
finished what ?	learning language .
learning language .	which one ?
which one ?	all .
apipoussan !	apipoussan ?
uh . . .	. . .hoppi hoppa .
you noticed . .	ok you can turn around !
it s up to you now angel !	i m so tired . . .
. . .like love . . .	exactly .
tell me . . .	i love you . . .
the cash man !	been here long ?
thanks . .	you re welcome . .
this is all that survived ?	actually only one cell survived . .
actually only one cell survived . .	have you identified it ?
this thing solid ?	an elephant couldn t crack it .
the stones weren t aboard the ship .	. . .what do you mean ?
they just landed in the desert .	how much time is left ?
is that better ?	perfect mr . president .
options .	wait or act .
wait or act .	recommendations .
drink !	to fame . . salud . .
got it .	how s our deal coming along ?
welcome home .	do you know how much i missed you ?
smoking ? i m not smoking .	your clothing reeks of it .
i m not accusing you . . .	well i m not smoking okay ?
well i m not smoking okay ?	okay i believe you .
i love you .	i love you .
. . . what s going on ?	just do it amy please go .
i wanted to call . i couldn t .	you couldn t ?
you couldn t ?	you don t understand . . .
i don t know what to say	you re killing me . . .
you re killing me . . .	don t . . .
who are you calling ?	mrs . christian .
mrs . christian .	what ?
anything harder ?	there s nothing harder .
there s nothing harder .	snuff ?
snuff ?	what you see is what i got mister .
bullshit .	i m telling you . . .
dino . . .	nobody knows anything .
what the fuck . . . !	i promised him to machine .
a fellow investor .	hmm .
that s five thousand dollars .	is it ?
and they are ?	i want to watch you work .
i want to watch you work .	i ll consider it .
i d rather you didn t .	what s the problem ?
what s the problem ?	i m camera shy .
where s that ?	brooklyn . don t be late .
you brought the money ?	right here .
excellent .	where are the women ?
where are the women ?	they should be here any minute .
what are you . . . ?	take out your gun !
you remember mr . longdale don t you ?	i remember him .
you re a dead man .	leave him alone .
leave him alone .	fuck off .
call me tom .	alright tom .
i figured you share information .	we do .
celebrity films .	eddie .
eddie .	yeah who s this ?
yeah who s this ?	i know what you did .
i know what you did .	what ?
what ?	i know what you did .
i know what you did .	who is this .
i m gonna kill you .	don t bore me with that bullshit .
don t bore me with that bullshit .	how d you find me here ?
don t ask questions .	fuck you !
starting to recognize a pattern ?	what do you want ?
what do you want ?	who is machine ?
who is machine ?	i don t know . . .
i don t know . . .	i want his name .
i want his name .	i told you i don t know .
yeah .	how much did he pay you ?
how much did he pay you ?	thirty thousand each that fucking cocksucker .
why ?	because we re going there .
stop talking .	you got absolute zero .
you got absolute zero .	show me where you buried her .
do it .	don t think i won t .
easy enough for you .	i never killed anyone .
of what sort ?	you are a private investigator ?
you are a private investigator ?	that s right .
they re no friends of mine .	except you re willing commit murder with them .
you re asking me why ?	i m asking .
isn t it incredibly obvious ?	enlighten me .
you almost went over your limit .	fuck you .
give me the film .	you ll get it when we get there .
big date tonight ?	yeah . . . guess so .
how long you been working there ?	three four years .
i m not a cop .	you re a private eye . like shaft .
you re a private eye . like shaft .	not quite .
how much ?	how much do you make now ?
how much do you make now ?	four hundred a week off the books .
. . . hello . . . ?	wake up pops . your education begins tonight .
how old are you ?	twenty five .
twenty five .	where are your parents ?
where are your parents ?	i don t know where are yours ?
specialty product .	you re learning .
you re learning .	where does he sell it ?
it s their presidential suite .	great .
mister welles . you re very prompt .	i try to be .
i told you i can t not yet .	you don t have any other choice .
you ve found missing persons before .	nothing remotely like this .
i m not positive this means anything .	the checks were for odd amounts . . .
hello . . . ?	i m here .
hello ?	mrs . christian tom welles here .
mrs . christian tom welles here .	how are you ? having any luck ?
what was she running from ?	i don t know .
why do you think he did it ?	it got to be too much for him .
we re all like that .	are you religious ?
are you religious ?	no .
no .	you should be .
what is this ?	those are her belongings .
those are her belongings .	her belongings ?
none too discreet is he ?	no sir he is not .
okay i ll take it all .	excellent . we accept mastercard and american express .
excellent . we accept mastercard and american express .	cash .
no you may not .	okay . fine .
alice you think you can leave ?	what s wrong ?
what s wrong ?	kincaid and joey died last night .
kincaid and joey died last night .	what ?
you alright ?	kristen . . .
i m sure they re around .	yeah i m not so sure .
ohhhhbaby i am dead on my feet .	we have matching luggage .
we have matching luggage .	what ?
you ve been up all night ?	that obvious huh ?
that obvious huh ?	then you saw him too ?
no . . .	you re his sister right ?
i ve been working double shifts .	extra money huh ?
how long have you been awake ?	three days .
not really .	is there something we can do ?
you look great !	save it for later . come on !
rick please .	alright i think i see salvation . . .
it was freddy .	enough of that crap .
t t thanks alice . . .	earth to alice . . .
i don t get it .	let me talk to you .
hey man we re all sorry . . .	she knew she was gonna die .
what s wrong with me ?	your distraught . it ll help . . .
something wrong with the stairs ?	avoid all contact day .
avoid all contact day .	what ?
what is it ?	oh god ! he killed them !
i gotta get out of here .	you just stay put . you need rest .
excuse us dear .	it s okay dan
hey . . .wake up .	huh ?
shouldn t you be in your room jacob ?	it s lonely in there in my room .
it s lonely in there in my room .	my name is . . .
i m sorry your boyfriend got killed .	how did you know that ?
is that who you re waiting for ?	no . . .
who says i don t like you ?	my friend with the funny hand .
where is he ?	he s inside you where he hides .
hi beautiful .	jesus ! don t do that !
jesus ! don t do that !	sorry babe .
you re right .	there you go . love you .
there you go . love you .	me too .
where are we going ?	to take a picture .
how was the meeting ?	sobering . . .
sobering . . .	very funny .
very funny .	alice . . .
alice . . .	since when are you such a smart shopper ?
alice !	i ve got to go .
but dad	now .
you do good work alice .	so did dan .
not to mention the heartbreak of psoriasis .	greta come on . one burger with me ?
mark are you okay ?	yeah . i m just aces .
then get out !	mark !
who s jacob ?	my baby !
my baby !	what you named it already ?
they think i m nuts .	that s their problem .
poor woman . . .	no shit .
next life . oh what s that ?	my undying love . have some .
stop saying that it s bullshit .	i want to talk about the baby .
vomit ?	faint .
it s okay .	stick around please ?
you too ?	he invited me to his house last night .
what is it ?	your out . this came for you .
your out . this came for you .	my father ! he s not ?
unidentified flying objects .	then . . .this is a flying saucer ?
but if they u do u ?	i don t know .
reef !	so they caught up with you too ?
we re stuck tight !	skipper ! look at the depth gauge !
you ve got to let us try skipper	us ?
yeah ?	listen ! hear that ?
you hear that ?	the sound again ?
somewhere down there ?	wonder where powell and carney are ?
wonder where powell and carney are ?	we ll have to look for them later .
well ?	i m with u you ! u
is there any way out of it ?	seems to be all around . . .
seems to be all around . . .	what about down ?
what about down ?	i . . .don t know !
what course skipper ?	right at our one eyed friend !
you better take powell and carney with you	the frogmen ?
sidearms ? but the saucer s dead .	we hope !
excuse me skipper	yes griff ?
now they feel it . . .down below .	radiation level . . .constantly rising . . .
as we near the pole . . .	there s got to be an explanation !
who with ?	dr . neilsen . he ll be
determine extent of damage immediately .	after torpedo room report !
you re sure it s cyclops ?	take a look .
what s the running time ?	thirty four seconds !
right u at u him ?	that s what i said !
that s what i said !	but what can we accomplish ?
but what can we accomplish ?	we can u ram u him !
straight to the pole at almost fifty knots !	nothing we can do now .
swell !	your friend was to remain where he was !
he did !	i am afraid not . therefore
my yeoman will show you to your quarters .	thank you .
well i ll be !	i ll be another !
has anybody offered to buy it ?	as a mater of fact yes . lariviere .
twombley involved ?	no .
what are you boys up to ?	same old shit .
tell me .	chub says you re fired .
i plan to . soon .	how soon ?
how soon ?	this spring .
you heard the news .	i hear twombley got shot .
i hear twombley got shot .	yeah .
he s on to us !	shit ! what are we gonna do ?
you can t buy wade off .	we bought you .
we bought you .	that was me .
if you get it ?	yeah .
yeah .	you might not kill it .
you might not kill it .	you think so .
and you ll get your extra hundred bucks .	wonderful !
i used to play ball .	yeah ?
yeah ?	drafted by the red sox .
drafted by the red sox .	you played for the sox ?
you played for the sox ?	double a . new britain .
double a . new britain .	oh .
really .	they said .
they said .	hmm .
safety on ?	yeah .
yeah .	this way .
this way .	sun s gettin high .
sun s gettin high .	deers have ears too .
no brag . just fact .	got you for bucks ?
bastard s got his high beams on .	shit .
where d twombley get shot ?	in the chest .
in the chest .	no i mean whereabouts .
the ambulance guys lugged him up .	you stayed away ?
you stayed away ?	yeah .
yeah .	where d you get the blood ?
where d you get the blood ?	what blood ?
what blood ?	on your sleeve .
sure you did .	what ?
what ?	saw him do it ?
i m fucking out of here .	lawford ?
those are the hoyts .	i don t care . they re out .
why do they do that ?	do what ?
do what ?	you know .
you know .	break stuff ?
break stuff ?	yeah . it s stupid .
yeah . it s stupid .	i guess they re stupid .
was it funny ?	to us it was .
to us it was .	but it s not funny now .
i bet you did lots of bad things .	what are you talking about ?
what are you talking about ?	i just think you used to be bad .
it s not that .	what then ?
what then ?	it s stupid .
it s stupid .	it s fun .
no .	no what ?
i called mommy .	what ? you called mommy ? just now ?
what ? you called mommy ? just now ?	yes .
yes .	jesus why ?
it s pretty old .	it belongs to pop .
it belongs to pop .	pop ?
pop ?	grandpa . my father . it s his .
grandpa . my father . it s his .	oh .
no .	what do you want then ?
what do you want then ?	nothing .
okay .	fine .
please don t cry . please honey .	what are you sorry for ?
i want to go home .	you can t .
that s illegal you know .	i know .
i know .	you re a policeman .
jill please it s alright . nothing happened .	i want to go home .
i want to go home .	okay let s go home then .
his son in law damn near killed me .	huh ?
you don t want the extra police pay ?	i m not saying that .
what s the hurry ?	a hunting accident . jack and twombley .
a hunting accident . jack and twombley .	huh ?
huh ?	i figured you already heard .
something bugging you ?	yeah . a few things .
how you holding up wade ?	i m fine fine .
i saw mel gordon in here this morning .	so ?
i won t . you interested ?	maybe .
maybe .	you and mel gordon ?
you and mel gordon ?	could be .
lillian !	where s jill ?
yeah .	she s grown up some hasn t she ?
we should talk .	we ve done all our talking wade .
we ve done all our talking wade .	it s just . . .
yeah lots .	see . get your boots .
